,id_estacao,data_fundacao,latitude,longitude,municipio
299,A227,2008-04-27,-0.72777777,-48.51583333,1507904
300,A228,2017-10-20,-1.68027777,-50.47805554,1501808
301,A229,2008-03-01,-3.82277777,-49.67499999,1508100
302,A230,2008-09-03,-6.07749999,-50.14222221,1505536
303,A231,2008-02-17,-4.27694443,-55.99305555,1503606
304,A232,2012-07-05,-1.88083332,-55.51972221,1505106
305,A233,2008-05-30,-9.3386111,-50.35027777,1506708
306,A234,2008-07-18,-6.74333333,-51.14194444,1508084
307,A235,2008-07-23,-4.243989,-49.939308,1505064
308,A236,2008-06-20,-2.23972221,-49.49972221,1502103
309,A239,2012-07-06,-2.0,-54.07638888,1504802
310,A240,2009-06-25,-5.36638888,-49.05111111,1504208
311,A241,2008-09-04,-8.30361,-49.28277,1502707
312,A246,2010-09-28,-6.31999999,-55.78777777,1503606
313,A247,2016-09-11,-7.110518,-49.926072,1508407
314,A248,2011-04-18,-1.73472221,-47.0575,1502301
315,A250,2015-09-02,-2.5025,-54.72027777,1506807
316,A252,2018-03-08,-4.28055554,-47.56388888,1502939
317,A253,2018-10-25,-3.27027777,-52.39472221,1500602
318,A254,2019-07-11,-8.04333333,-50.00694444,1506138
319,A256,2020-12-18,-8.72972221,-49.85638888,1506583
320,A925,2007-07-11,-8.7936111,-63.84583333,1100205
321,A938,2008-08-26,-12.73499999,-60.15777777,1100304
322,A939,2008-07-20,-11.445837,-61.434146,1100049
323,A940,2008-07-18,-9.94888888,-62.96194444,1100023
324,A135,2010-08-26,2.81694443,-60.69083333,1400100
325,A009,2004-12-17,-10.190744,-48.301811,1721000
326,A010,2005-03-04,-12.615,-47.87194443,1716208
327,A018,2006-12-01,-12.015377,-48.544517,1716604
328,A019,2006-12-20,-11.74583333,-49.04972221,1709500
329,A020,2007-01-23,-8.968677,-48.177259,1716505
330,A021,2007-01-26,-7.10388888,-48.20111111,1702109
331,A038,2008-08-30,-11.59444444,-46.84722221,1707009
332,A039,2008-04-27,-11.88749999,-49.60833333,1708205
333,A040,2012-10-25,-10.43444444,-45.92194443,1712702
334,A041,2012-11-24,-9.576389,-49.723333,1703909
335,A043,2012-10-29,-8.15472222,-46.63944444,1703842
336,A044,2009-03-12,-5.6436111,-48.11194444,1702208
337,A048,2016-07-30,-7.124191,-48.781267,1718865
338,A049,2016-11-11,-8.092708,-48.478605,1705508
339,A050,2016-08-03,-9.793363,-47.132732,1718758
340,A051,2016-04-06,-10.47694443,-49.62944443,1717503
341,A052,2015-08-14,-11.42888888,-48.18499999,1718907
342,A053,2016-04-01,-11.28416666,-47.21222222,1700400
343,A054,2015-08-19,-12.59222221,-49.5286111,1702000
344,A055,2016-11-15,-10.828286,-49.847882,1711902
345,A612,2006-10-31,-20.27083332,-40.30583333,3205309
346,A613,2007-08-09,-19.988388,-40.579572,3204500
347,A614,2006-10-27,-19.35694444,-40.0686111,3203205
348,A615,2006-11-03,-20.63638888,-40.74194444,3200300
349,A616,2006-10-25,-18.676198,-39.864051,3204906
350,A617,2006-10-25,-20.75055555,-41.48888888,3200201
351,A622,2008-06-18,-21.10083333,-41.03944444,3204302
352,A623,2008-06-22,-18.69527777,-40.39055555,3203908
353,A631,2017-03-17,-18.29138888,-40.73638888,3202108
354,A632,2017-03-22,-19.407181,-40.539825,3203353
355,A633,2017-02-10,-20.38555555,-41.18999999,3205069
356,A634,2017-02-15,-20.46694443,-40.40388888,3205200
357,A657,2011-09-24,-20.10416666,-41.10694444,3200102
358,A502,2002-12-05,-21.22833332,-43.76777777,3105608
359,A505,2002-12-19,-19.605696,-46.949617,3104007
360,A506,2002-12-19,-16.68638888,-43.84388888,3143302
361,A507,2002-12-18,-18.91694443,-48.25555555,3170206
362,A508,2002-12-15,-16.166773,-40.687756,3101706
363,A509,2004-12-19,-22.86166666,-46.04333333,3110509
364,A510,2005-09-15,-20.762607,-42.864013,3171303
365,A511,2006-02-22,-19.57388888,-42.62249999,3168705
366,A512,2006-05-12,-18.95277777,-49.52499999,3134202
367,A513,2006-07-28,-20.55666666,-43.75611111,3145901
368,A514,2006-06-09,-21.106502,-44.250928,3162500
369,A515,2006-07-13,-21.56638888,-45.40416666,3170701
370,A516,2006-07-16,-20.745237,-46.633916,3147907
371,A517,2006-08-30,-21.104867,-42.375904,3143906
372,A518,2007-05-26,-21.769965,-43.364329,3136702
373,A519,2006-07-15,-19.53921,-49.518133,3111101
374,A520,2006-07-18,-19.98586,-48.151574,3117306
375,A521,2006-10-10,-19.883945,-43.969397,3106200
376,A522,2006-08-21,-17.79888888,-40.25,3166709
377,A523,2006-08-22,-18.996684,-46.985935,3148103
378,A524,2006-08-17,-20.455,-45.45388888,3126109
379,A525,2006-08-19,-19.87527777,-47.43416666,3156908
380,A526,2007-06-26,-14.40833333,-44.40416666,3142700
381,A527,2006-08-25,-17.89284,-41.515423,3168606
382,A528,2006-08-25,-18.200855,-45.459836,3161700
383,A529,2007-05-30,-22.395799,-44.961909,3147600
384,A530,2006-11-28,-21.918066,-46.382996,3110301
385,A531,2006-12-01,-22.314567,-45.373049,3139904
386,A532,2007-05-27,-18.830354,-41.977007,3127701
387,A533,2007-06-02,-18.78694444,-42.94305555,3128006
388,A534,2007-08-05,-19.53277777,-41.09083333,3101102
389,A535,2008-06-27,-19.885398,-44.416883,3126000
390,A536,2007-06-01,-19.481935,-45.593932,3123205
391,A537,2007-06-05,-18.231052,-43.648269,3121605
392,A538,2006-12-18,-18.747711,-44.453785,3120904
393,A539,2007-11-11,-15.085958,-44.016036,3135050
394,A540,2007-08-01,-18.78062,-40.986505,3139607
395,A541,2007-08-31,-17.70555555,-42.38916666,3112307
396,A542,2007-06-16,-16.55416666,-46.88194443,3170404
397,A543,2007-11-14,-14.91222222,-42.80861111,3124302
398,A544,2007-06-19,-15.52416666,-46.43555555,3109303
399,A545,2007-07-04,-17.258064,-44.835556,3151206
400,A546,2007-07-11,-17.56138888,-47.19916666,3128600
401,A547,2007-06-30,-16.362747,-45.123801,3164209
402,A548,2007-06-22,-15.30027777,-45.61749999,3116159
403,A549,2007-09-09,-15.751536,-41.457787,3101003
404,A550,2007-09-05,-16.575667,-41.485588,3133303
405,A551,2007-11-17,-15.72305554,-42.43583333,3155603
406,A552,2007-09-14,-16.16027777,-42.31027777,3157005
407,A553,2007-07-07,-17.784477,-46.119394,3136306
408,A554,2007-05-24,-19.735757,-42.137146,3113404
409,A555,2008-06-06,-20.031457,-44.011249,3106200
410,A556,2010-09-25,-20.26333333,-42.18277777,3139409
411,A557,2012-10-17,-21.546728,-43.261029,3127388
412,A559,2016-06-23,-15.448089,-44.366313,3117836
413,A561,2015-08-17,-20.91,-47.11416666,3164704
414,A562,2017-05-12,-18.52055554,-46.44055555,3148004
415,A563,2016-11-19,-15.80277777,-43.29694444,3145059
416,A564,2017-10-26,-20.17333332,-44.87499999,3122306
417,A565,2016-11-23,-20.0311111,-46.00888888,3105103
418,A566,2017-05-19,-16.84888888,-42.03527777,3103405
419,A567,2017-07-21,-21.680722,-45.944389,3139003
420,A568,2017-05-19,-19.71,-47.96194444,3170107
