,id_municipio,latitude,longitude,uf,regiao
458,3119302,-18.4734,-47.1933,MG,Sudeste
459,3119401,-19.5179,-42.6276,MG,Sudeste
460,3119500,-16.6148,-42.184,MG,Sudeste
461,3119609,-21.5898,-43.256,MG,Sudeste
462,3119708,-21.0277,-44.2206,MG,Sudeste
463,3119807,-19.8198,-45.9032,MG,Sudeste
464,3119906,-22.6269,-46.0241,MG,Sudeste
465,3119955,-20.4474,-45.5617,MG,Sudeste
466,3120003,-19.8361,-42.3988,MG,Sudeste
467,3120102,-18.0727,-43.4648,MG,Sudeste
468,3120151,-17.2381,-40.9184,MG,Sudeste
469,3120201,-20.8733,-45.5167,MG,Sudeste
470,3120300,-16.716,-42.8571,MG,Sudeste
471,3120409,-20.8324,-43.8166,MG,Sudeste
472,3120508,-22.208,-45.2673,MG,Sudeste
473,3120607,-20.3923,-44.3334,MG,Sudeste
474,3120706,-18.944,-46.6669,MG,Sudeste
475,3120805,-21.84,-44.8067,MG,Sudeste
476,3120839,-18.9648,-41.0986,MG,Sudeste
477,3120870,-15.9327,-41.8557,MG,Sudeste
478,3120904,-18.7527,-44.4303,MG,Sudeste
479,3121001,-18.4478,-43.6591,MG,Sudeste
480,3121100,-22.5036,-45.2792,MG,Sudeste
481,3121209,-20.3468,-46.8456,MG,Sudeste
482,3121258,-19.9721,-47.7841,MG,Sudeste
483,3121308,-21.46,-42.9618,MG,Sudeste
484,3121407,-20.665,-44.3334,MG,Sudeste
485,3121506,-21.143,-43.5178,MG,Sudeste
486,3121605,-18.2413,-43.6031,MG,Sudeste
487,3121704,-20.4879,-43.1953,MG,Sudeste
488,3121803,-19.8433,-42.7701,MG,Sudeste
489,3121902,-20.9917,-43.0003,MG,Sudeste
490,3122009,-20.6134,-42.1438,MG,Sudeste
