,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
2780,4312104,48.97,13.56,10.92,7.96,0.46,6.31,484.75,0.83,13.68,81.83,5111,2618,2493,0.656
2781,4312757,44.74,9.65,9.35,8.76,0.46,1.63,925.66,0.3,24.84,91.03,3182,1332,1850,0.74
2782,4314555,46.57,13.67,9.32,14.64,0.46,6.71,473.9,1.91,11.33,98.65,2757,777,1980,0.669
2783,4315909,42.9,9.77,10.35,8.4,0.46,2.02,767.63,1.75,28.22,93.64,5743,4310,1433,0.732
2784,4318200,50.81,9.4,9.93,7.92,0.46,2.64,628.15,3.39,45.09,91.13,20537,13004,7533,0.685
2785,4318804,44.35,11.63,8.64,5.3,0.46,2.11,713.88,3.82,20.89,90.68,43111,24237,18874,0.687
2786,4319372,41.6,12.25,11.05,2.45,0.46,0.52,905.55,0.83,28.93,99.37,2873,1209,1664,0.763
2787,4320503,45.16,12.9,10.96,6.43,0.46,2.18,827.95,2.08,22.81,88.38,6294,3387,2907,0.751
2788,4322301,43.43,15.18,10.86,5.43,0.46,1.23,768.25,1.17,31.29,96.12,8557,5294,3263,0.728
2789,4323200,46.7,11.59,10.12,2.69,0.46,1.17,989.66,1.37,19.77,91.55,3036,1284,1752,0.777
2790,5001003,44.36,7.95,9.34,10.67,0.46,2.95,692.79,5.68,57.34,99.23,22320,20096,2224,0.697
2791,5004007,45.94,9.95,10.66,11.9,0.46,1.72,644.1,5.4,29.93,95.24,9927,7670,2257,0.721
2792,5007406,48.04,7.77,9.35,12.69,0.46,3.06,570.74,6.83,35.07,93.09,18890,16297,2593,0.673
2793,5008404,49.85,12.2,9.99,15.62,0.46,1.58,583.56,3.42,28.54,97.81,5901,4243,1658,0.711
2794,5100409,45.08,7.04,8.92,9.91,0.46,2.15,651.91,7.71,46.78,94.04,10350,9455,895,0.701
2795,5100607,45.73,3.15,9.03,7.06,0.46,1.15,781.26,2.4,56.66,99.0,8072,7323,749,0.705
2796,5100805,46.88,4.04,8.98,14.56,0.46,6.82,504.04,3.75,23.41,91.6,8567,6377,2190,0.675
2797,5101308,47.31,6.58,9.95,13.34,0.46,2.51,540.59,9.25,28.66,84.85,10316,9750,566,0.704
2798,5103700,56.81,2.52,8.95,9.41,0.46,5.96,786.26,4.89,38.58,96.19,10933,8123,2810,0.692
2799,5104500,49.81,5.97,8.11,15.21,0.46,3.24,443.9,6.95,33.12,99.07,2397,1781,616,0.661
2800,5105259,37.89,2.21,10.21,3.45,0.46,1.45,938.65,4.95,62.72,99.55,45556,42455,3101,0.768
2801,5105903,51.26,6.89,9.86,12.92,0.46,3.82,533.53,7.36,38.52,87.27,15002,12454,2548,0.699
2802,5108402,43.15,4.54,9.62,6.26,0.46,2.01,668.86,6.55,50.85,97.23,252596,248704,3892,0.734
2803,5200209,44.2,10.58,10.6,10.79,0.46,2.35,591.23,1.09,30.53,97.55,2013,1426,587,0.722
2804,5200308,51.52,7.11,8.84,12.56,0.46,5.14,498.09,5.89,32.23,97.64,23814,19676,4138,0.682
2805,5201306,40.44,7.66,10.47,11.02,0.46,2.15,604.97,7.18,48.2,97.47,20239,17311,2928,0.714
2806,5204805,46.98,6.29,9.41,11.41,0.46,1.03,632.7,5.15,37.8,93.35,6060,4481,1579,0.694
2807,5210604,44.02,11.0,11.23,15.0,0.46,2.05,580.67,2.69,13.31,96.79,5437,4521,916,0.718
2808,5211008,47.86,10.01,10.38,17.73,0.46,3.33,518.21,5.65,23.88,98.16,7835,5536,2299,0.677
2809,5211404,42.39,10.32,9.87,12.92,0.46,2.43,611.99,2.27,35.32,98.0,8575,6461,2114,0.718
2810,5212907,51.35,10.14,10.91,11.38,0.46,1.07,594.43,7.76,33.37,99.72,2072,1804,268,0.699
2811,5215231,50.4,3.13,9.05,7.3,0.46,3.99,498.44,10.7,58.77,95.64,95018,93971,1047,0.684
2812,5216403,45.27,8.01,8.56,12.51,0.46,3.12,575.52,5.56,36.09,97.47,10863,7987,2876,0.672
2813,5218508,42.4,8.02,9.78,10.51,0.46,1.03,761.68,3.89,46.37,96.69,43220,38163,5057,0.74
2814,5219605,53.89,10.51,10.03,15.11,0.46,8.69,416.11,4.62,29.64,95.14,3995,3355,640,0.665
2815,5221700,43.48,8.95,9.99,13.63,0.46,3.15,500.27,4.96,16.06,95.87,13826,11232,2594,0.703
2816,5221908,46.89,10.17,9.79,16.37,0.46,1.38,614.8,5.35,20.48,91.15,3659,2243,1416,0.687
2817,5222005,45.11,7.17,10.11,8.52,0.46,0.7,664.33,3.0,32.82,86.89,12548,9170,3378,0.712
2818,5222054,42.38,5.49,10.07,13.51,0.46,2.62,651.07,5.57,40.09,98.6,7371,6321,1050,0.684
2819,1200203,67.66,4.52,9.13,20.36,0.64,18.08,450.06,7.44,31.8,79.14,78507,55326,23181,0.664
2820,1300060,74.76,3.51,7.18,24.66,0.64,42.81,178.69,8.87,3.7,66.65,9467,4960,4507,0.56
2821,1300805,79.27,4.58,7.92,17.29,0.64,36.98,219.83,9.96,5.97,54.65,34961,14434,20527,0.56
2822,1301209,68.5,3.65,7.65,18.67,0.64,21.98,347.2,11.48,16.98,32.29,75965,49651,26314,0.586
2823,1301506,82.08,3.57,6.33,35.05,0.64,35.87,204.98,11.55,5.47,44.82,16338,10552,5786,0.509
2824,1302900,82.46,4.7,9.26,11.23,0.64,34.31,244.3,4.12,8.9,53.85,52236,25832,26404,0.588
