,id_municipio,ano,populacao
774,1304062,2002,40022
775,1304062,2006,45085
776,1304062,2010,52272
777,1304062,2014,59684
778,1304062,2018,64488
779,1304062,2022,68502
780,1304104,2002,19587
781,1304104,2006,17160
782,1304104,2010,19077
783,1304104,2014,18266
784,1304104,2018,17299
785,1304104,2022,16876
786,1304203,2002,66664
787,1304203,2006,71975
788,1304203,2010,61453
789,1304203,2014,62662
790,1304203,2018,60154
791,1304203,2022,59250
792,1304237,2002,16665
793,1304237,2006,19439
794,1304237,2010,17079
795,1304237,2014,18322
796,1304237,2018,18610
797,1304237,2022,19038
798,1304260,2002,11274
799,1304260,2006,13729
800,1304260,2010,11891
801,1304260,2014,12963
802,1304260,2018,13387
803,1304260,2022,13839
804,1304302,2002,19854
805,1304302,2006,23422
806,1304302,2010,17094
807,1304302,2014,17264
808,1304302,2018,16383
809,1304302,2022,16007
810,1304401,2002,11126
811,1304401,2006,8386
812,1304401,2010,17837
813,1304401,2014,20621
814,1304401,2018,22537
815,1304401,2022,24098
816,1400027,2002,5560
817,1400027,2006,6229
818,1400027,2010,9327
819,1400027,2014,10721
820,1400027,2018,12394
821,1400027,2022,13561
822,1400050,2002,19316
823,1400050,2006,22856
824,1400050,2010,16448
825,1400050,2014,16301
826,1400050,2018,15638
827,1400050,2022,15249
828,1400100,2002,214541
829,1400100,2006,249655
830,1400100,2010,284313
831,1400100,2014,314900
832,1400100,2018,375374
833,1400100,2022,436591
834,1400159,2002,10434
835,1400159,2006,13220
836,1400159,2010,10943
837,1400159,2014,11632
838,1400159,2018,12257
839,1400159,2022,12701
840,1400175,2002,9213
841,1400175,2006,10826
842,1400175,2010,13902
843,1400175,2014,15774
844,1400175,2018,17868
845,1400175,2022,19257
846,1400209,2002,15448
847,1400209,2006,18367
848,1400209,2010,18398
849,1400209,2014,19981
850,1400209,2018,21564
851,1400209,2022,22635
852,1400233,2002,5752
853,1400233,2006,5901
854,1400233,2010,8114
855,1400233,2014,8997
856,1400233,2018,9950
857,1400233,2022,10595
858,1400282,2002,5211
859,1400282,2006,6290
860,1400282,2010,8696
861,1400282,2014,10043
862,1400282,2018,11600
863,1400282,2022,12637
864,1400308,2002,11382
865,1400308,2006,11722
866,1400308,2010,14792
867,1400308,2014,16137
868,1400308,2018,17528
869,1400308,2022,18482
870,1400407,2002,5868
871,1400407,2006,5191
872,1400407,2010,8940
873,1400407,2014,9953
874,1400407,2018,11045
875,1400407,2022,11772
876,1400456,2002,7401
877,1400456,2006,8435
878,1400456,2010,10433
879,1400456,2014,11667
880,1400456,2018,15580
881,1400456,2022,20108
882,1400472,2002,19819
883,1400472,2006,25913
884,1400472,2010,24279
885,1400472,2014,26811
886,1400472,2018,29533
887,1400472,2022,31387
888,1400506,2002,5206
889,1400506,2006,5494
890,1400506,2010,6769
891,1400506,2014,7401
892,1400506,2018,8052
893,1400506,2022,8492
894,1400605,2002,5707
